id,revenue
3001,42737098.24
3002,8747097.86
3003,19929457.84
3004,51267110.59
3005,4616921.32
3006,25130457.18
3007,13501912.43
3008,77432002.72
3009,26696413.29
3010,430757681.0
3011,1077731.67
3012,4884180.46
3013,67265107.02
3014,2912155.26
3015,28780301.99
3016,633329.25
3017,120207201.86
3018,139126985.81
3019,27003140.33
3020,798265209.02
3021,80917720.98
3022,86729520.93
3023,3253718.26
3024,47433025.77
3025,2266073.05
3026,140026477.77
3027,9020925.41
3028,97053802.75
3029,6315556.39
3030,65776701.45
3031,27418043.88
3032,12441326.57
3033,3796224.48
3034,815630.38
3035,22911324.44
3036,37051432.46
3037,97224084.12
3038,65896178.27
3039,35014734.85
3040,16054574.87
3041,29505135.78
3042,6143173.82
3043,26464100.94
3044,6946323.15
3045,451282821.55
3046,8670910.58
3047,29465723.76
3048,32344283.12
3049,31936378.22
3050,64691889.81
3051,3667027.62
3052,36565108.37
3053,1976469.6
3054,14260454.56
3055,128855993.19
3056,3123626.83
3057,84884280.98
3058,517254385.05
3059,5617190.53
3060,140374401.76
3061,61871749.08
3062,159315821.99
3063,105360133.61
3064,116273752.02
3065,26457528.87
3066,106053729.1
3067,10574292.34
3068,66954048.64
3069,217596900.28
3070,3936796.07
3071,25373723.9
3072,575635643.24
3073,5746816.17
3074,2081950.98
3075,26803348.72
3076,227357810.74
3077,67790808.18
3078,175900211.43
3079,64383108.4
3080,138062589.35
3081,35039331.01
3082,35538124.75
3083,7554740.32
3084,3273458.03
3085,42396843.48
3086,94850740.76
3087,3827672.07
3088,2418831.41
3089,2901826.04
3090,20309346.75
3091,36631689.18
3092,14382856.54
3093,246492468.9
3094,118549548.41
3095,90991021.5
3096,5872400.27
3097,943386320.5
3098,31757400.36
3099,72163562.76
3100,11107216.73
3101,14424454.94
3102,15913822.72
3103,4411238.38
3104,4400615.87
3105,125493377.18
3106,62870842.91
3107,44827260.58
3108,9539531.95
3109,28843765.87
3110,441588468.17
3111,13047191.97
3112,3839652.78
3113,23452382.36
3114,65593642.48
3115,28210604.67
3116,36282363.58
3117,6751869.62
3118,8273161.26
3119,201379881.62
3120,220081362.82
3121,16784591.29
3122,36915186.24
3123,37232983.47
3124,5660345.04
3125,1266472.44
3126,25826901.34
3127,9678860.31
3128,35883034.07
3129,337202785.5
3130,33147030.67
3131,7869197.97
3132,12778970.58
3133,16264689.17
3134,32299488.37
3135,4915967.66
3136,5413418.26
3137,150320763.44
3138,2540832.76
3139,34187492.85
3140,109973318.83
3141,22445088.15
3142,5608223.45
3143,146969967.14
3144,21591494.38
3145,100757054.4
3146,7413188.07
3147,23912410.21
3148,12846063.66
3149,95802324.13
3150,109151283.73
3151,10493595.88
3152,31921172.13
3153,8869284.64
3154,13082003.05
3155,39685018.74
3156,22749143.66
3157,33553158.25
