id,revenue
3001,45869108.0
3002,2039557.8
3003,16144320.0
3004,21215472.0
3005,-4261525.5
3006,46976570.0
3007,-6299456.5
3008,28434012.0
3009,34691564.0
3010,456590600.0
3011,-1370386.8
3012,-3488338.2
3013,26074678.0
3014,4730861.5
3015,12420008.0
3016,6426362.0
3017,157340430.0
3018,129820330.0
3019,38067850.0
3020,512185020.0
3021,66193544.0
3022,45867864.0
3023,-1970073.6
3024,17682602.0
3025,3479194.2
3026,159561380.0
3027,6309031.5
3028,96032180.0
3029,25213994.0
3030,44271348.0
3031,4916079.5
3032,10558780.0
3033,4610072.5
3034,-4417213.0
3035,45098004.0
3036,25686092.0
3037,119220420.0
3038,14202246.0
3039,4739491.5
3040,-8317423.0
3041,46671756.0
3042,-3960131.8
3043,72504090.0
3044,7966817.5
3045,443037630.0
3046,8903620.0
3047,10185438.0
3048,38243676.0
3049,73890360.0
3050,78799450.0
3051,-4584358.5
3052,18913124.0
3053,8957934.0
3054,-2275357.0
3055,106179910.0
3056,3102602.5
3057,85593350.0
3058,420670530.0
3059,-4137243.0
3060,116505180.0
3061,46222110.0
3062,67997940.0
3063,89748280.0
3064,103258140.0
3065,34445464.0
3066,110116810.0
3067,923800.4
3068,82778664.0
3069,283103140.0
3070,3176044.8
3071,7944447.0
3072,498053280.0
3073,1598630.0
3074,-2350109.8
3075,63048810.0
3076,249529460.0
3077,34067892.0
3078,211685100.0
3079,42581550.0
3080,92418696.0
3081,26490384.0
3082,22676926.0
3083,11445858.0
3084,-5622337.0
3085,27315008.0
3086,96327870.0
3087,6213134.5
3088,1215084.4
3089,-4157740.8
3090,44523136.0
3091,42002200.0
3092,22251042.0
3093,260164290.0
3094,116228310.0
3095,95579610.0
3096,8019294.5
3097,1005813700.0
3098,51885440.0
3099,61698036.0
3100,-19398766.0
3101,13479594.0
3102,14894800.0
3103,29907754.0
3104,6480242.0
3105,88934340.0
3106,76846856.0
3107,18084228.0
3108,19445406.0
3109,34459468.0
3110,282414140.0
3111,8591312.0
3112,1226045.8
3113,19332532.0
3114,20851354.0
3115,8177406.5
3116,43215268.0
3117,3360559.2
3118,19622954.0
3119,188590220.0
3120,150483420.0
3121,2900809.5
3122,24230666.0
3123,33208164.0
3124,-7998782.5
3125,-1532874.5
3126,50264412.0
3127,13611942.0
3128,41851396.0
3129,328636380.0
3130,22207090.0
3131,2022085.9
3132,7748200.0
3133,33780120.0
3134,23654750.0
3135,3756367.8
3136,678352.75
3137,159638600.0
3138,-4146565.8
3139,32445838.0
3140,88758460.0
3141,33083218.0
3142,2600777.8
3143,171096740.0
3144,10433118.0
3145,106395704.0
3146,9904644.0
3147,26143086.0
3148,1917108.5
3149,85880830.0
3150,94673440.0
3151,140877.98
3152,11258476.0
3153,129944.28
3154,12702740.0
3155,30469684.0
3156,38295376.0
3157,40908436.0
3158,211665500.0
3159,45817028.0
3160,33083838.0
3161,14291590.0
3162,31052066.0
3163,149892800.0
3164,15709232.0
3165,-3076017.0
3166,6844697.5
3167,94597850.0
3168,-3099255.8
3169,45527864.0
3170,27980458.0
3171,104150056.0
3172,22751848.0
3173,2196771.5
3174,7277293.5
3175,26673476.0
3176,72255256.0
3177,98220240.0
3178,5222537.0
3179,-3172665.2
3180,38176876.0
3181,12490142.0
3182,234223220.0
3183,60512840.0
3184,61623210.0
3185,75072040.0
3186,70611060.0
3187,36167180.0
3188,22717092.0
3189,67630180.0
3190,76133170.0
3191,29690646.0
3192,61314236.0
3193,426168450.0
3194,83536456.0
3195,8187994.0
3196,-320118.38
3197,10900760.0
3198,249259170.0
3199,286400770.0
3200,15337352.0
3201,27081698.0
3202,2389585.8
3203,6918286.5
3204,4203245.5
3205,6874430.0
3206,9490752.0
3207,52220930.0
3208,12357024.0
3209,10414384.0
3210,624903600.0
3211,3637429.8
3212,21424674.0
3213,147145090.0
3214,20975574.0
3215,30489150.0
3216,11148794.0
3217,464727420.0
3218,20315222.0
3219,6650994.0
3220,230758700.0
3221,1996915.8
3222,-3921952.0
3223,96698790.0
3224,17133858.0
3225,12766714.0
3226,1870341.1
3227,81512520.0
3228,235436910.0
3229,201918450.0
3230,43977668.0
3231,79878470.0
3232,3995462.0
3233,21912334.0
3234,20998408.0
3235,71796410.0
3236,1632826.2
3237,17420704.0
3238,306957.3
3239,5462009.0
