id,revenue
3001,16807109.117510997
3002,16806961.03347739
3003,16807109.117510997
3004,16806975.348379146
3005,16806962.457044635
3006,16807109.117510997
3007,16807109.11752497
3008,16807206.89584974
3009,16807041.99997329
3010,16807638.782515135
3011,16806962.45704463
3012,16807109.117510997
3013,16806968.931740988
3014,16806961.321935665
3015,16807078.182685964
3016,16807109.117510997
3017,16807293.67852466
3018,16807608.232147638
3019,16807109.117510997
3020,16807407.838535488
3021,16807206.895849735
3022,16807078.18270154
3023,16807109.117510997
3024,16807165.28078679
3025,16807109.117510997
3026,16807279.085866097
3027,16806968.93174099
3028,16807407.398644954
3029,16806961.16570864
3030,16807279.085866097
3031,16806962.457066145
3032,16806962.7262315
3033,16806961.017564405
3034,16806961.089653563
3035,16807109.117510997
3036,16806970.52274055
3037,16807056.804624017
3038,16806991.455486134
3039,16807008.276516158
3040,16807109.117510997
3041,16807004.53126067
3042,16807109.117510997
3043,16806968.931740988
3044,16806972.260920424
3045,16807481.79362377
3046,16807109.11752497
3047,16807109.117524978
3048,16807046.813003805
3049,16807109.117510997
3050,16806965.039127246
3051,16806961.017533034
3052,16807078.18268596
3053,16807109.11751099
3054,16807109.117510997
3055,16807264.504791733
3056,16807109.117510997
3057,16807483.776082274
3058,16807407.838535488
3059,16807109.117510997
3060,16807483.776082274
3061,16807019.84764531
3062,16807109.117511
3063,16807056.804607324
3064,16807615.14233061
3065,16807078.18268596
3066,16807351.58041641
3067,16807109.117510997
3068,16807078.18270051
3069,16807493.4466953
3070,16807109.117510997
3071,16806961.695300896
3072,16807446.748404033
3073,16807109.117510997
3074,16807109.117510997
3075,16807011.914555572
3076,16807582.056440305
3077,16806994.510307044
3078,16807351.58041641
3079,16807138.737193476
3080,16807483.776082274
3081,16806961.98748764
3082,16807109.117510997
3083,16807008.153470248
3084,16806961.017578058
3085,16806983.159631684
3086,16807351.580416407
3087,16807109.117510997
3088,16807109.11751099
3089,16806961.019312624
3090,16807101.279937185
3091,16807178.941404797
3092,16807109.117510997
3093,16807649.503412038
3094,16807495.384338792
3095,16807151.869951453
3096,16806962.95964395
3097,16807382.569135357
3098,16806974.146391176
3099,16807351.58041641
3100,16807109.117510997
3101,16807109.117510997
3102,16806961.095580567
3103,16807109.11752497
3104,16807109.117510993
3105,16807649.50341204
3106,16807652.745489266
3107,16807089.52761002
3108,16806980.68604341
3109,16807109.117510997
3110,16807462.22583185
3111,16806993.887860272
3112,16807109.117510997
3113,16806968.63118548
3114,16806968.93174099
3115,16806969.28464771
3116,16806972.26092043
3117,16807109.117510997
